orders,cp,CO6-010764,MNL-001857,MNL-001906,MNL-001907,MNL-001969,MNL-002019,MNL-002116
250404CYQGUAPM,,,,,,,,
250404CYR3UPUV,,,,,,,,
250404CYSA06A6,,,,,,,,
250404CYSFSVDA,,,,,,,,
250404CYSRC5NA,,,,,,,,
250404CYU36YT3,,,,,,,,
250404CYUP9X2F,,,,,,,,
250404CYVPR1QV,,,,,,,,
250404CYW18KFX,,,,,,,,
250404CYW27R7C,,,,,,,,
250404D00QEXP1,,,,,,,,
250404D07KTETV,,,,,,,,
250404D0BB0UNG,,,,,,,,
250404D0C00CRK,,,,,,,,
250404D0C4RGXC,,,,,,,,
250404D0GE2GGT,,,,,,,,
250404D0HRY86B,,,,,,,,
250404D0JTDMVS,,,,,,,,
250404D0QF44AY,,,,,,,,
250404D0RS2JN9,,,,,,,,
250404D11UXW65,,,,,,,,
250404D163DACH,,,,,,,,
250404D1C9SE6H,,,,,,,,
250404D1E8NR07,,,,,,,,
250404D1GH7RGG,,,,,,,,
250404D1HX1KAR,,,,,,,,
250404D1KAU0BH,,,,,,,,
250404D1QWQQNS,,,,,,,,
250404D1UCBEBC,,,,,,,,
250404D1W8EXTP,,,,,,,,
250404D2022UJ6,,,,,,,,
250404D24WH74U,,,,,,,,
250404D2580B0U,,,,,,,,
250404D26TJUY8,,,,,,,,
250404D297SB0P,,,,,,,,
250404D29P23KE,,,,,,,,
250404D29P30NH,,,,,,,,
250404D2DSR339,,,,,,,,
250404D2EKFVGW,,,,,,,,
250404D2F6HT4R,,,,,,,,
250404D2R5J8UY,,,,,,,,
250404D319EBXT,,,,,,,,
250404D32XS54W,,,,,,,,
250404D34R2SDT,,,,,,,,
250404D36BH4W2,,,,,,,,
250404D3A1TDQT,,,,,,,,
250404D3B18QDC,,,,,,,,
250404D3DEFD1T,,,,,,,,
250404D3F9MSQ4,,,,,,,,
250404D3GA3GFX,,,,,,,,
250404D3J557HJ,,,,,,,,
